cid,text,time,author,channel,votes,photo,heart
UgzwFq-GHbgEf142oxt4AaABAg,"Hi Everyone, I hope that everyone will enjoy this course, Here's how you can help me:- 
Be Sure to Subscribe Newera for Further Courses:- https://youtube.com/c/neweraa/?sub_confirmation=1 
A Brand New Deep Learning Course is Coming On Newera, So After Completing ML001, You can watch that too.

You can watch the same course here:- https://www.youtube.com/playlist?list=PLITqwrDNk9XDyoAoVbXKbgRBMJK5NrQcB  
( All the Updates, Announcements will be made here only ) 

You can know more or connect with me on social media handles below:- 
An Intro video about me:- https://youtu.be/3ytbVJ930E4 
Linkedin:-  https://www.linkedin.com/in/ayush-singh488/
Instagram:-  https://www.instagram.com/intelligentprogrammer123/
Twitter:- https://twitter.com/AyushSi69507942 
Discord to ask question:- https://discord.gg/FDUy8BmV  
Antern:- antern.co",7 months ago,Newera,UC_sl8H2k4xC9RLqyHsnDkcA,256,https://yt3.ggpht.com/h_pAhp1zCDKTlesrjN__Eg1UqClU53rUqlvO_1MKCDx3T-WOBdVHSKFddvjkz4FOdG6h3z65=s176-c-k-c0x00ffffff-no-rj,True
Ugyv-PY-6vBBx6yEWG94AaABAg,"The kid's 15. My god, look at the teaching skills and confidence at such age while delivering one of the hardest courses. He is gonna reach great heights ✌️✌️",7 months ago,Yeshwanth Prabhala,UCcZ46zBk3-qsMdaGZUouZNw,1.8K,https://yt3.ggpht.com/ytc/AKedOLSv35tO0TJOINqNpP7P0V34vOwndc006w4XCnKjNg=s176-c-k-c0x00ffffff-no-rj,False
UgzR8wWbmPWVlvqB9Cx4AaABAg,this is how you get 18 years of experience at the age of 20,6 months ago,Abhigyan Verma,UCWwtypx0nR8qB0bKW55Eb2Q,1.3K,https://yt3.ggpht.com/ytc/AKedOLSvVWj8VG5dtCMmbf_BO-J9Y4tzrEcAcI85EdT3qw=s176-c-k-c0x00ffffff-no-rj,False
UgyAH491zXX6GxtCrhZ4AaABAg,"0:00       -  Intro
4:34       -  Fundamentals of ML
25:22     -  Supervised VS Unsupervised 
35:39     -  Linear Regression
1:07:06  -  Logistic Regression
1:24:12  -  Project: House price predictor
1:45:16  -  Regularization
2:01:12  -  Support vector machines
2:29:55  -  Project: Stock price predictor
3:05:55  -  Principal component analysis 
3:29:14  -  Learning theory
3:47:38  -  Decision trees
4:58:19  -  Ensemble learning
5:53:28  -  Boosting, pt 1
6:11:16  -  Boosting, pt 2
6:44:10  -  Stacking Ensemble Learning
7:09:52  -  Unsupervised Learning, pt 1
7:26:58  -  Unsupervised Learning, pt 2
7:55:16  -  K-Means
8:20:21  -  Hierarchical Clustering
8:50:28  -  Project: Heart failure prediction
9:33:29  -  Project: Spam/Ham Detector



please, enjoy!",7 months ago,Who am I ¿,UCg-rZCni3RGrAPRiKtk_VTg,402,https://yt3.ggpht.com/ytc/AKedOLTAINdbT5WQ9E0AMIqr3BeNiCl1GS2wAu_b7n5B=s176-c-k-c0x00ffffff-no-rj,False
Ugxo-pdMuRsZ8PhePAZ4AaABAg,"As someone who is looking to break into this field, as an entrepreneur, and as a husband and a father, you are truly an inspiration. What you are doing is incredible and I wholeheartedly support you. Keep going. You are the future.",3 months ago,ivlivs.c,UCHfQwvh4KK3Mr6sFppuS_lw,40,https://yt3.ggpht.com/1-bsRQIXgyEvB_R4n95-9UUuN97rqNHRC118c-GBYfzT2ikc8D4nsd7Gxu1zFuHBCuAfjtVY-8c=s176-c-k-c0x00ffffff-no-rj,False
Ugy5dVWAXuvNldUU9CF4AaABAg,"The whole course is so comprehensive , thank you! This 9+ hours of knowledge tsunami actually represents a higher quality of teaching than some university courses in the same topic :D",7 months ago,Kovacs Arpad,UCU4iE5RL3-1-Bp-k3KojEbg,116,https://yt3.ggpht.com/ytc/AKedOLR2tPM7Ypl5Ty8Ol5d-W06UsILj-JILOnX5fg=s176-c-k-c0x00ffffff-no-rj,False
UgypgAZ96NluJCwNgip4AaABAg,"In LInear Regression , the cost funtion is 1/m * (summation of square of difference between ground value and predicted value).But in the tutorial you wrote 1/m + (summation part). Change it. Other than that your video is awesome.",1 month ago,khabilan somasundaram,UCL5FQS7W8VRhWJsz9aYB5pQ,10,https://yt3.ggpht.com/ytc/AKedOLRknw1WQcm6RUfaGAkT4aHrxNnRN58XVQu23DSn=s176-c-k-c0x00ffffff-no-rj,False
UgxzKQZGGebwpnJJdi14AaABAg,"I have a little question, in the whole calculation of RMSE in linear regression , why are we addting 1/m instead of multiplying it by 1/m. Even if we consider the units of the entities, we are trying to add a number with distance .",6 months ago (edited),Harshita Singh,UCXDfHr47zifhraEQbqJ9fhQ,47,https://yt3.ggpht.com/ytc/AKedOLTh-eaUvPTQQjvrDKBxd_Oa9wcsWN8lTCAYOYOB4fg=s176-c-k-c0x00ffffff-no-rj,False
UgxfyoX6cvkF5pnfCRV4AaABAg,"My mind is just blown🤯🤯🤯, 15 year old is just rocked the tutorial. Formal way of education it at high threat😂😂😂, which is a good sign. A huge applause to this 15 year LEGEND👏👏👏, for proving that age doesn't matter to learn anything.",7 months ago,srikanth,UCbOsDDjOwVimkHKkQ5gb_1Q,201,https://yt3.ggpht.com/ytc/AKedOLShf6pqU0DOq8apZdir9QHw2WxpdH8yb0JtOsOAyeL9Na743nBP0gEjkcaw-NUx=s176-c-k-c0x00ffffff-no-rj,False
UgxcrHnheEB5a0Kqhch4AaABAg,"Seeing such a young kid with those skills, makes me proud of him and sad about me 😭",7 months ago,Sam,UCCWNWKUsUi9BzYRJRYsb4pw,558,https://yt3.ggpht.com/ytc/AKedOLSAyVP4Bf6ltYcRuLPRjKcoKreoNYkA-pM1jU8U=s176-c-k-c0x00ffffff-no-rj,False
UgzHBv0h0mBsBC8jyhh4AaABAg,"Having done machine learning in the past year, this was actually a really good revision.",2 months ago,Harry Guanous,UClE4vy2D0RID9rZfMejHAjQ,4,https://yt3.ggpht.com/ytc/AKedOLTVbACQwqYcOaheeAbSBDB1S6QFgVj3vPJY_8DJ=s176-c-k-c0x00ffffff-no-rj,False
